Country,Type,Serial,CEFR,Upper/lower/students/teachers/others,Grammar,Spelling,Word Count,Average Sentence Length,Function Word Count,FWratio
CHN,PTJ,1,B1,1,1,4,262,13,99,0.377862595
CHN,PTJ,2,B1,1,0,0,201,12,78,0.388059701
CHN,PTJ,3,B1,1,0,0,230,13,89,0.386956522
CHN,PTJ,4,B1,2,0,5,261,10,92,0.352490421
CHN,PTJ,5,B1,2,0,0,221,17,90,0.407239819
CHN,PTJ,6,B1,2,0,2,210,13,72,0.342857143
CHN,PTJ,7,B1,1,0,0,212,16,91,0.429245283
CHN,PTJ,8,B1,2,3,1,232,16,111,0.478448276
CHN,PTJ,9,B1,2,0,0,222,14,84,0.378378378
CHN,PTJ,10,B1,1,0,1,201,13,86,0.427860697
CHN,PTJ,11,B1,1,0,0,209,14,81,0.387559809
CHN,PTJ,12,B1,1,0,1,212,14,90,0.424528302
CHN,PTJ,13,B1,2,0,3,226,16,82,0.362831858
CHN,PTJ,14,B1,2,0,3,255,15,107,0.419607843
CHN,PTJ,15,B1,2,0,0,218,16,94,0.431192661
CHN,PTJ,16,B1,2,0,2,231,16,97,0.41991342
CHN,PTJ,17,B1,1,2,0,247,11,105,0.425101215
CHN,PTJ,18,B1,2,1,0,196,11,83,0.423469388
CHN,PTJ,19,B1,2,1,8,276,16,99,0.358695652
CHN,PTJ,20,B1,1,0,0,225,15,101,0.448888889
CHN,PTJ,21,A2,0,1,0,211,15,92,0.436018957
CHN,PTJ,22,A2,0,0,0,201,13,77,0.383084577
CHN,PTJ,23,B1,1,0,0,232,11,99,0.426724138
CHN,PTJ,24,A2,0,0,0,211,11,86,0.407582938
CHN,PTJ,25,B1,1,1,1,222,11,82,0.369369369
CHN,PTJ,26,A2,0,0,0,204,12,80,0.392156863
CHN,PTJ,27,B1,1,0,0,215,11,86,0.4
CHN,PTJ,28,B2,0,1,1,211,14,83,0.393364929
CHN,PTJ,29,B1,1,0,0,202,16,83,0.410891089
CHN,PTJ,30,B1,2,0,0,214,13,89,0.41588785
CHN,PTJ,31,B1,1,1,1,219,12,87,0.397260274
CHN,PTJ,32,B1,1,1,1,224,12,74,0.330357143
CHN,PTJ,33,B1,2,1,1,202,14,86,0.425742574
CHN,PTJ,34,B1,1,0,0,208,14,89,0.427884615
CHN,PTJ,35,B1,1,0,0,223,14,92,0.412556054
CHN,PTJ,36,B1,1,0,0,206,14,88,0.427184466
CHN,PTJ,37,B1,1,0,1,219,13,94,0.429223744
CHN,PTJ,38,A2,0,0,0,200,11,61,0.305
CHN,PTJ,39,A2,0,0,3,207,10,82,0.396135266
CHN,PTJ,40,B1,1,0,4,248,14,98,0.39516129
CHN,PTJ,41,A2,0,1,1,225,14,79,0.351111111
CHN,PTJ,42,B1,1,0,0,247,17,93,0.376518219
CHN,PTJ,43,B1,1,1,9,219,10,84,0.383561644
CHN,PTJ,44,A2,0,0,9,297,18,121,0.407407407
CHN,PTJ,45,A2,0,0,0,224,11,73,0.325892857
CHN,PTJ,46,A2,0,0,0,210,23,90,0.428571429
CHN,PTJ,47,B1,1,1,1,252,15,101,0.400793651
CHN,PTJ,48,B1,1,0,0,228,12,84,0.368421053
CHN,PTJ,49,A2,0,0,1,217,12,89,0.410138249
CHN,PTJ,50,A2,0,0,1,200,12,70,0.35
CHN,PTJ,51,B1,2,0,0,214,17,93,0.434579439
CHN,PTJ,52,B1,1,0,1,213,17,92,0.431924883
CHN,PTJ,53,B1,1,0,2,220,14,85,0.386363636
CHN,PTJ,54,B1,1,0,0,207,12,84,0.405797101
CHN,PTJ,55,A2,0,0,0,230,15,92,0.4
CHN,PTJ,56,B1,1,0,0,229,14,91,0.397379913
CHN,PTJ,57,B1,1,0,2,259,14,99,0.382239382
CHN,PTJ,58,A2,0,0,0,204,11,77,0.37745098
CHN,PTJ,59,A2,0,0,0,200,13,84,0.42
CHN,PTJ,60,B1,1,0,0,204,12,80,0.392156863
CHN,PTJ,61,A2,0,0,0,216,15,89,0.412037037
CHN,PTJ,62,B1,1,1,6,261,15,105,0.402298851
CHN,PTJ,63,B1,1,0,0,231,16,109,0.471861472
CHN,PTJ,64,A2,0,0,2,264,16,108,0.409090909
CHN,PTJ,65,A2,0,0,0,210,10,70,0.333333333
CHN,PTJ,66,A2,0,0,0,208,14,95,0.456730769
CHN,PTJ,67,B1,1,0,2,206,15,79,0.383495146
CHN,PTJ,68,B1,1,0,5,263,21,105,0.399239544
CHN,PTJ,69,B1,1,0,0,203,11,78,0.384236453
CHN,PTJ,70,B1,1,0,0,209,13,91,0.435406699
CHN,PTJ,71,A2,0,1,1,204,11,65,0.318627451
CHN,PTJ,72,A2,0,0,0,208,13,78,0.375
CHN,PTJ,73,B1,1,0,0,236,19,87,0.368644068
CHN,PTJ,74,B1,2,0,0,278,12,105,0.377697842
CHN,PTJ,75,B1,2,0,0,234,15,103,0.44017094
CHN,PTJ,76,B1,1,0,5,230,17,67,0.291304348
CHN,PTJ,77,B1,1,1,1,241,26,111,0.460580913
CHN,PTJ,78,B1,2,0,0,216,12,86,0.398148148
CHN,PTJ,79,B1,1,1,4,296,18,121,0.408783784
CHN,PTJ,80,B1,1,1,0,227,15,95,0.418502203
CHN,PTJ,81,B1,1,0,7,297,14,117,0.393939394
CHN,PTJ,82,B1,1,0,1,198,13,80,0.404040404
CHN,PTJ,83,B1,1,0,0,215,16,91,0.423255814
CHN,PTJ,84,B1,2,0,5,296,12,110,0.371621622
CHN,PTJ,85,B1,2,0,1,261,17,114,0.436781609
CHN,PTJ,86,B1,1,1,1,213,10,74,0.34741784
CHN,PTJ,87,A2,0,0,3,200,13,77,0.385
CHN,PTJ,88,B1,1,0,1,200,22,76,0.38
CHN,PTJ,89,B1,2,0,2,238,11,94,0.394957983
CHN,PTJ,90,B1,1,0,0,213,15,88,0.41314554
CHN,PTJ,91,B1,1,0,1,226,14,97,0.42920354
CHN,PTJ,92,A2,0,0,1,233,16,79,0.339055794
CHN,PTJ,93,B1,1,1,1,203,18,92,0.45320197
CHN,PTJ,94,B1,1,0,0,246,13,96,0.390243902
CHN,PTJ,95,B1,1,0,15,296,26,135,0.456081081
CHN,PTJ,96,B1,1,1,4,280,25,113,0.403571429
CHN,PTJ,97,A2,0,0,5,279,17,112,0.401433692
CHN,PTJ,98,B1,1,0,11,298,14,109,0.365771812
CHN,PTJ,99,A2,0,0,0,206,12,73,0.354368932
CHN,PTJ,100,B1,1,0,6,299,13,130,0.434782609
CHN,PTJ,101,B1,1,1,1,237,15,93,0.392405063
CHN,PTJ,102,B1,1,0,4,286,13,114,0.398601399
CHN,PTJ,103,B1,1,0,3,280,18,120,0.428571429
CHN,PTJ,104,B1,1,0,0,214,16,94,0.439252336
