Filename,(Grammar,Spelling),Word Count,Average Sentence Length,Function Word Count,FWratio
CHN_PTJ_001_B1_1.txt,(1, 4),262,13,99,0.37786259542
CHN_PTJ_002_B1_1.txt,(0, 0),201,12,78,0.388059701493
CHN_PTJ_003_B1_1.txt,(0, 0),230,13,89,0.386956521739
CHN_PTJ_004_B1_2.txt,(0, 5),261,10,92,0.352490421456
CHN_PTJ_005_B1_2.txt,(0, 0),221,17,90,0.407239819005
CHN_PTJ_006_B1_2.txt,(0, 2),210,13,72,0.342857142857
CHN_PTJ_007_B1_1.txt,(0, 0),212,16,91,0.429245283019
CHN_PTJ_008_B1_2.txt,(3, 1),232,16,111,0.478448275862
CHN_PTJ_009_B1_2.txt,(0, 0),222,14,84,0.378378378378
CHN_PTJ_010_B1_1.txt,(0, 1),201,13,86,0.427860696517
CHN_PTJ_011_B1_1.txt,(0, 0),209,14,81,0.387559808612
CHN_PTJ_012_B1_1.txt,(0, 1),212,14,90,0.424528301887
CHN_PTJ_013_B1_2.txt,(0, 3),226,16,82,0.362831858407
CHN_PTJ_014_B1_2.txt,(0, 3),255,15,107,0.419607843137
CHN_PTJ_015_B1_2.txt,(0, 0),218,16,94,0.43119266055
CHN_PTJ_016_B1_2.txt,(0, 2),231,16,97,0.419913419913
CHN_PTJ_017_B1_1.txt,(2, 0),247,11,105,0.425101214575
CHN_PTJ_018_B1_2.txt,(1, 0),196,11,83,0.423469387755
CHN_PTJ_019_B1_2.txt,(1, 8),276,16,99,0.358695652174
CHN_PTJ_020_B1_1.txt,(0, 0),225,15,101,0.448888888889
CHN_PTJ_021_A2_0.txt,(1, 0),211,15,92,0.436018957346
CHN_PTJ_022_A2_0.txt,(0, 0),201,13,77,0.383084577114
CHN_PTJ_023_B1_1.txt,(0, 0),232,11,99,0.426724137931
CHN_PTJ_024_A2_0.txt,(0, 0),211,11,86,0.407582938389
CHN_PTJ_025_B1_1.txt,(1, 1),222,11,82,0.369369369369
CHN_PTJ_026_A2_0.txt,(0, 0),204,12,80,0.392156862745
CHN_PTJ_027_B1_1.txt,(0, 0),215,11,86,0.4
CHN_PTJ_028_B2_0.txt,(1, 1),211,14,83,0.39336492891
CHN_PTJ_029_B1_1.txt,(0, 0),202,16,83,0.410891089109
CHN_PTJ_030_B1_2.txt,(0, 0),214,13,89,0.415887850467
CHN_PTJ_031_B1_1.txt,(1, 1),219,12,87,0.397260273973
CHN_PTJ_032_B1_1.txt,(1, 1),224,12,74,0.330357142857
CHN_PTJ_033_B1_2.txt,(1, 1),202,14,86,0.425742574257
CHN_PTJ_034_B1_1.txt,(0, 0),208,14,89,0.427884615385
CHN_PTJ_035_B1_1.txt,(0, 0),223,14,92,0.412556053812
CHN_PTJ_036_B1_1.txt,(0, 0),206,14,88,0.427184466019
CHN_PTJ_037_B1_1.txt,(0, 1),219,13,94,0.429223744292
CHN_PTJ_038_A2_0.txt,(0, 0),200,11,61,0.305
CHN_PTJ_039_A2_0.txt,(0, 3),207,10,82,0.3961352657
CHN_PTJ_040_B1_1.txt,(0, 4),248,14,98,0.395161290323
CHN_PTJ_041_A2_0.txt,(1, 1),225,14,79,0.351111111111
CHN_PTJ_042_B1_1.txt,(0, 0),247,17,93,0.376518218623
CHN_PTJ_043_B1_1.txt,(1, 9),219,10,84,0.383561643836
CHN_PTJ_044_A2_0.txt,(0, 9),297,18,121,0.407407407407
CHN_PTJ_045_A2_0.txt,(0, 0),224,11,73,0.325892857143
CHN_PTJ_046_A2_0.txt,(0, 0),210,23,90,0.428571428571
CHN_PTJ_047_B1_1.txt,(1, 1),252,15,101,0.400793650794
CHN_PTJ_048_B1_1.txt,(0, 0),228,12,84,0.368421052632
CHN_PTJ_049_A2_0.txt,(0, 1),217,12,89,0.410138248848
CHN_PTJ_050_A2_0.txt,(0, 1),200,12,70,0.35
CHN_PTJ_051_B1_2.txt,(0, 0),214,17,93,0.434579439252
CHN_PTJ_052_B1_1.txt,(0, 1),213,17,92,0.431924882629
CHN_PTJ_053_B1_1.txt,(0, 2),220,14,85,0.386363636364
CHN_PTJ_054_B1_1.txt,(0, 0),207,12,84,0.405797101449
CHN_PTJ_055_A2_0.txt,(0, 0),230,15,92,0.4
CHN_PTJ_056_B1_1.txt,(0, 0),229,14,91,0.397379912664
CHN_PTJ_057_B1_1.txt,(0, 2),259,14,99,0.382239382239
CHN_PTJ_058_A2_0.txt,(0, 0),204,11,77,0.377450980392
CHN_PTJ_059_A2_0.txt,(0, 0),200,13,84,0.42
CHN_PTJ_060_B1_1.txt,(0, 0),204,12,80,0.392156862745
CHN_PTJ_061_A2_0.txt,(0, 0),216,15,89,0.412037037037
CHN_PTJ_062_B1_1.txt,(1, 6),261,15,105,0.402298850575
CHN_PTJ_063_B1_1.txt,(0, 0),231,16,109,0.471861471861
CHN_PTJ_064_A2_0.txt,(0, 2),264,16,108,0.409090909091
CHN_PTJ_065_A2_0.txt,(0, 0),210,10,70,0.333333333333
CHN_PTJ_066_A2_0.txt,(0, 0),208,14,95,0.456730769231
CHN_PTJ_067_B1_1.txt,(0, 2),206,15,79,0.383495145631
CHN_PTJ_068_B1_1.txt,(0, 5),263,21,105,0.399239543726
CHN_PTJ_069_B1_1.txt,(0, 0),203,11,78,0.384236453202
CHN_PTJ_070_B1_1.txt,(0, 0),209,13,91,0.435406698565
CHN_PTJ_071_A2_0.txt,(1, 1),204,11,65,0.31862745098
CHN_PTJ_072_A2_0.txt,(0, 0),208,13,78,0.375
CHN_PTJ_073_B1_1.txt,(0, 0),236,19,87,0.368644067797
CHN_PTJ_074_B1_2.txt,(0, 0),278,12,105,0.377697841727
CHN_PTJ_075_B1_2.txt,(0, 0),234,15,103,0.440170940171
CHN_PTJ_076_B1_1.txt,(0, 5),230,17,67,0.291304347826
CHN_PTJ_077_B1_1.txt,(1, 1),241,26,111,0.460580912863
CHN_PTJ_078_B1_2.txt,(0, 0),216,12,86,0.398148148148
CHN_PTJ_079_B1_1.txt,(1, 4),296,18,121,0.408783783784
CHN_PTJ_080_B1_1.txt,(1, 0),227,15,95,0.418502202643
CHN_PTJ_081_B1_1.txt,(0, 7),297,14,117,0.393939393939
CHN_PTJ_082_B1_1.txt,(0, 1),198,13,80,0.40404040404
CHN_PTJ_083_B1_1.txt,(0, 0),215,16,91,0.423255813953
CHN_PTJ_084_B1_2.txt,(0, 5),296,12,110,0.371621621622
CHN_PTJ_085_B1_2.txt,(0, 1),261,17,114,0.436781609195
CHN_PTJ_086_B1_1.txt,(1, 1),213,10,74,0.347417840376
CHN_PTJ_087_A2_0.txt,(0, 3),200,13,77,0.385
CHN_PTJ_088_B1_1.txt,(0, 1),200,22,76,0.38
CHN_PTJ_089_B1_2.txt,(0, 2),238,11,94,0.394957983193
CHN_PTJ_090_B1_1.txt,(0, 0),213,15,88,0.413145539906
CHN_PTJ_091_B1_1.txt,(0, 1),226,14,97,0.429203539823
CHN_PTJ_092_A2_0.txt,(0, 1),233,16,79,0.339055793991
CHN_PTJ_093_B1_1.txt,(1, 1),203,18,92,0.453201970443
CHN_PTJ_094_B1_1.txt,(0, 0),246,13,96,0.390243902439
CHN_PTJ_095_B1_1.txt,(0, 15),296,26,135,0.456081081081
CHN_PTJ_096_B1_1.txt,(1, 4),280,25,113,0.403571428571
CHN_PTJ_097_A2_0.txt,(0, 5),279,17,112,0.401433691756
CHN_PTJ_098_B1_1.txt,(0, 11),298,14,109,0.365771812081
CHN_PTJ_099_A2_0.txt,(0, 0),206,12,73,0.354368932039
CHN_PTJ_100_B1_1.txt,(0, 6),299,13,130,0.434782608696
CHN_PTJ_101_B1_1.txt,(1, 1),237,15,93,0.392405063291
CHN_PTJ_102_B1_1.txt,(0, 4),286,13,114,0.398601398601
CHN_PTJ_103_B1_1.txt,(0, 3),280,18,120,0.428571428571
CHN_PTJ_104_B1_1.txt,(0, 0),214,16,94,0.439252336449
CHN_PTJ_105_B1_1.txt,(0, 0),215,11,80,0.372093023256
CHN_PTJ_106_B1_1.txt,(1, 0),227,11,103,0.453744493392
CHN_PTJ_107_B1_1.txt,(1, 1),235,10,84,0.357446808511
CHN_PTJ_108_B1_1.txt,(0, 0),209,12,75,0.358851674641
CHN_PTJ_109_B1_1.txt,(0, 0),230,19,102,0.44347826087
CHN_PTJ_110_B1_1.txt,(0, 0),212,11,88,0.415094339623
CHN_PTJ_111_B1_1.txt,(1, 1),228,15,79,0.34649122807
CHN_PTJ_112_B1_1.txt,(0, 8),285,19,122,0.428070175439
CHN_PTJ_113_B1_1.txt,(0, 0),289,18,143,0.494809688581
CHN_PTJ_114_B1_1.txt,(0, 0),244,12,90,0.368852459016
CHN_PTJ_115_A2_0.txt,(0, 4),246,13,86,0.349593495935
CHN_PTJ_116_A2_0.txt,(0, 0),209,12,85,0.406698564593
CHN_PTJ_117_A2_0.txt,(0, 0),206,18,93,0.45145631068
