Filename,Grammar & Spelling,Word Count,Average Sentence Length,Function Word Count,FWratio
IDN_PTJ_001_B1_1.txt,(0, 0),253,13,98,0.387351778656
IDN_PTJ_002_B1_1.txt,(0, 5),218,14,97,0.44495412844
IDN_PTJ_003_B1_1.txt,(2, 0),246,11,101,0.410569105691
IDN_PTJ_004_B1_1.txt,(2, 3),203,14,84,0.413793103448
IDN_PTJ_005_B1_1.txt,(0, 3),216,12,98,0.453703703704
IDN_PTJ_006_A2_0.txt,(0, 1),195,12,61,0.312820512821
IDN_PTJ_007_B1_1.txt,(0, 3),215,15,96,0.446511627907
IDN_PTJ_008_A2_0.txt,(0, 1),259,19,109,0.420849420849
IDN_PTJ_009_B1_2.txt,(0, 0),215,11,79,0.367441860465
IDN_PTJ_010_B1_2.txt,(1, 8),277,13,104,0.375451263538
IDN_PTJ_011_B1_1.txt,(1, 1),228,13,89,0.390350877193
IDN_PTJ_012_B1_1.txt,(0, 12),285,19,122,0.428070175439
IDN_PTJ_013_B1_1.txt,(0, 1),246,12,90,0.365853658537
IDN_PTJ_014_B1_1.txt,(2, 0),201,18,87,0.432835820896
IDN_PTJ_015_B1_2.txt,(1, 2),248,10,82,0.33064516129
IDN_PTJ_016_B1_1.txt,(0, 0),209,19,91,0.435406698565
IDN_PTJ_017_A2_0.txt,(2, 1),218,16,103,0.47247706422
IDN_PTJ_018_B1_1.txt,(0, 0),234,16,92,0.393162393162
IDN_PTJ_019_B1_1.txt,(5, 2),187,17,83,0.44385026738
IDN_PTJ_020_B1_2.txt,(6, 2),242,14,105,0.433884297521
IDN_PTJ_021_B1_2.txt,(0, 1),206,25,90,0.436893203883
IDN_PTJ_022_A2_0.txt,(4, 5),263,14,94,0.357414448669
IDN_PTJ_023_A2_0.txt,(0, 0),200,18,85,0.425
IDN_PTJ_024_B1_2.txt,(2, 0),205,15,84,0.409756097561
IDN_PTJ_025_A2_0.txt,(0, 1),205,22,75,0.365853658537
IDN_PTJ_026_B1_1.txt,(0, 0),214,19,96,0.448598130841
IDN_PTJ_027_B1_2.txt,(0, 2),212,15,90,0.424528301887
IDN_PTJ_028_B1_1.txt,(0, 0),230,19,98,0.426086956522
IDN_PTJ_029_B1_1.txt,(1, 0),214,13,90,0.420560747664
IDN_PTJ_030_B1_1.txt,(1, 3),201,11,81,0.402985074627
IDN_PTJ_031_B1_2.txt,(0, 1),261,15,103,0.394636015326
IDN_PTJ_032_B1_1.txt,(1, 0),208,13,94,0.451923076923
IDN_PTJ_033_B1_2.txt,(0, 0),225,18,89,0.395555555556
IDN_PTJ_034_B1_2.txt,(1, 0),216,12,81,0.375
IDN_PTJ_035_B1_2.txt,(0, 0),232,15,86,0.370689655172
IDN_PTJ_036_B1_1.txt,(0, 2),207,13,84,0.405797101449
IDN_PTJ_037_B1_2.txt,(0, 7),289,18,117,0.404844290657
IDN_PTJ_038_B1_1.txt,(1, 0),226,13,101,0.446902654867
IDN_PTJ_039_A2_0.txt,(1, 4),235,13,84,0.357446808511
IDN_PTJ_040_B1_2.txt,(1, 0),213,14,76,0.356807511737
IDN_PTJ_041_B1_1.txt,(0, 7),278,16,112,0.402877697842
IDN_PTJ_042_B1_2.txt,(0, 12),288,16,102,0.354166666667
IDN_PTJ_043_B1_1.txt,(0, 5),298,14,114,0.38255033557
IDN_PTJ_044_B1_2.txt,(0, 0),203,14,78,0.384236453202
IDN_PTJ_045_A2_0.txt,(0, 6),300,15,129,0.43
IDN_PTJ_046_B1_2.txt,(0, 2),203,67,96,0.472906403941
IDN_PTJ_047_B1_1.txt,(0, 2),200,14,95,0.475
IDN_PTJ_048_B1_2.txt,(3, 2),213,12,81,0.380281690141
IDN_PTJ_049_B1_2.txt,(1, 3),210,17,80,0.380952380952
IDN_PTJ_050_A2_0.txt,(1, 2),207,20,85,0.410628019324
IDN_PTJ_051_B1_1.txt,(0, 7),277,12,111,0.400722021661
IDN_PTJ_052_B1_1.txt,(3, 1),219,13,81,0.369863013699
IDN_PTJ_053_B1_1.txt,(2, 2),212,17,89,0.419811320755
IDN_PTJ_054_A2_0.txt,(1, 9),244,17,100,0.409836065574
IDN_PTJ_055_B1_1.txt,(2, 11),277,23,112,0.404332129964
IDN_PTJ_056_B1_1.txt,(4, 3),202,15,68,0.336633663366
IDN_PTJ_057_B1_1.txt,(0, 0),206,20,99,0.480582524272
IDN_PTJ_058_B1_2.txt,(0, 3),254,14,104,0.409448818898
IDN_PTJ_059_B1_1.txt,(0, 3),202,16,78,0.386138613861
IDN_PTJ_060_B1_2.txt,(0, 2),210,23,85,0.404761904762
IDN_PTJ_061_B1_2.txt,(0, 0),204,14,67,0.328431372549
IDN_PTJ_062_B1_2.txt,(0, 1),229,15,88,0.384279475983
IDN_PTJ_063_A2_0.txt,(1, 2),208,10,73,0.350961538462
IDN_PTJ_064_B1_2.txt,(1, 6),293,16,110,0.37542662116
IDN_PTJ_065_B1_2.txt,(1, 0),244,20,102,0.418032786885
IDN_PTJ_066_B1_2.txt,(3, 2),252,16,101,0.400793650794
IDN_PTJ_067_B1_1.txt,(0, 4),238,14,89,0.373949579832
IDN_PTJ_068_B1_1.txt,(0, 1),207,20,74,0.357487922705
IDN_PTJ_069_B1_2.txt,(0, 0),267,15,100,0.374531835206
IDN_PTJ_070_A2_0.txt,(3, 2),210,11,75,0.357142857143
IDN_PTJ_071_A2_0.txt,(2, 0),213,13,99,0.464788732394
IDN_PTJ_072_B1_2.txt,(0, 3),206,15,82,0.398058252427
IDN_PTJ_073_B1_2.txt,(0, 3),231,13,85,0.367965367965
IDN_PTJ_074_B1_1.txt,(0, 8),299,16,128,0.428093645485
IDN_PTJ_075_A2_0.txt,(0, 10),257,28,77,0.299610894942
IDN_PTJ_076_B1_2.txt,(0, 0),247,14,102,0.412955465587
IDN_PTJ_077_B1_2.txt,(1, 3),212,13,96,0.452830188679
IDN_PTJ_078_B1_2.txt,(0, 0),219,16,87,0.397260273973
IDN_PTJ_079_B1_1.txt,(0, 0),206,18,82,0.398058252427
IDN_PTJ_080_A2_0.txt,(2, 3),238,19,103,0.432773109244
IDN_PTJ_081_B1_1.txt,(0, 2),255,18,108,0.423529411765
IDN_PTJ_082_B1_2.txt,(0, 0),214,13,77,0.359813084112
IDN_PTJ_083_B1_1.txt,(1, 1),210,11,74,0.352380952381
IDN_PTJ_084_B1_1.txt,(2, 4),236,19,104,0.440677966102
IDN_PTJ_085_B1_2.txt,(0, 0),221,12,80,0.361990950226
IDN_PTJ_086_B1_2.txt,(0, 0),213,11,73,0.342723004695
IDN_PTJ_087_B1_1.txt,(1, 4),232,19,95,0.409482758621
IDN_PTJ_088_B1_1.txt,(2, 2),220,12,88,0.4
IDN_PTJ_089_B1_1.txt,(2, 0),219,16,93,0.424657534247
IDN_PTJ_090_B1_2.txt,(0, 0),297,19,125,0.420875420875
IDN_PTJ_091_B1_2.txt,(0, 3),273,21,125,0.457875457875
IDN_PTJ_092_B1_1.txt,(0, 0),207,13,89,0.429951690821
IDN_PTJ_093_B1_1.txt,(1, 2),211,17,97,0.45971563981
IDN_PTJ_094_A2_0.txt,(0, 7),253,21,97,0.383399209486
IDN_PTJ_095_A2_0.txt,(1, 0),217,12,73,0.336405529954
IDN_PTJ_096_B1_1.txt,(1, 2),208,14,89,0.427884615385
IDN_PTJ_097_A2_0.txt,(1, 0),240,20,116,0.483333333333
IDN_PTJ_098_B1_2.txt,(1, 0),273,11,101,0.369963369963
IDN_PTJ_099_B1_2.txt,(0, 4),300,21,132,0.44
IDN_PTJ_100_B1_2.txt,(0, 0),210,17,96,0.457142857143
IDN_PTJ_101_B1_2.txt,(0, 10),300,15,110,0.366666666667
IDN_PTJ_102_B1_1.txt,(1, 0),221,14,89,0.402714932127
IDN_PTJ_103_B1_1.txt,(0, 0),236,15,105,0.444915254237
IDN_PTJ_104_B1_1.txt,(0, 2),258,14,108,0.418604651163
IDN_PTJ_105_B1_1.txt,(1, 0),211,13,81,0.383886255924
IDN_PTJ_106_B1_1.txt,(2, 3),203,29,92,0.453201970443
IDN_PTJ_107_B1_2.txt,(0, 0),237,21,101,0.426160337553
IDN_PTJ_108_B1_2.txt,(0, 7),217,19,96,0.442396313364
IDN_PTJ_109_B1_1.txt,(0, 2),210,21,84,0.4
IDN_PTJ_110_A2_0.txt,(2, 9),272,20,116,0.426470588235
IDN_PTJ_111_B1_2.txt,(0, 3),270,15,118,0.437037037037
IDN_PTJ_112_B1_1.txt,(3, 4),249,11,109,0.437751004016
IDN_PTJ_113_B1_2.txt,(2, 4),299,15,125,0.418060200669
IDN_PTJ_114_B1_2.txt,(1, 4),202,15,72,0.356435643564
IDN_PTJ_115_B1_2.txt,(1, 9),233,17,104,0.44635193133
IDN_PTJ_116_B1_1.txt,(0, 0),209,16,98,0.468899521531
IDN_PTJ_117_B1_2.txt,(0, 2),205,13,80,0.390243902439
IDN_PTJ_118_B1_1.txt,(1, 2),295,15,138,0.467796610169
IDN_PTJ_119_A2_0.txt,(0, 0),203,20,93,0.458128078818
IDN_PTJ_120_B1_1.txt,(1, 9),287,13,124,0.432055749129
IDN_PTJ_121_B1_1.txt,(4, 0),206,18,83,0.402912621359
IDN_PTJ_122_B1_1.txt,(0, 2),216,30,103,0.476851851852
IDN_PTJ_123_B1_1.txt,(1, 0),208,13,91,0.4375
IDN_PTJ_124_B1_1.txt,(0, 1),241,18,107,0.44398340249
IDN_PTJ_125_B1_1.txt,(0, 1),260,17,97,0.373076923077
IDN_PTJ_126_A2_0.txt,(0, 1),204,29,81,0.397058823529
IDN_PTJ_127_B1_1.txt,(6, 0),273,10,105,0.384615384615
IDN_PTJ_128_A2_0.txt,(2, 0),235,11,90,0.382978723404
IDN_PTJ_129_B1_1.txt,(0, 2),239,17,104,0.435146443515
IDN_PTJ_130_B1_2.txt,(0, 12),299,15,120,0.401337792642
IDN_PTJ_131_B1_2.txt,(5, 4),236,19,94,0.398305084746
IDN_PTJ_132_B1_2.txt,(1, 0),213,21,85,0.399061032864
IDN_PTJ_133_B1_2.txt,(0, 8),287,16,122,0.425087108014
IDN_PTJ_134_B1_1.txt,(5, 1),215,16,84,0.390697674419
IDN_PTJ_135_B1_2.txt,(0, 6),259,14,85,0.328185328185
IDN_PTJ_136_B1_2.txt,(0, 6),280,18,125,0.446428571429
IDN_PTJ_137_A2_0.txt,(1, 0),205,17,92,0.448780487805
IDN_PTJ_138_B1_1.txt,(0, 1),201,18,98,0.487562189055
IDN_PTJ_139_B1_1.txt,(2, 0),205,14,83,0.40487804878
IDN_PTJ_140_B1_1.txt,(0, 1),218,11,93,0.426605504587
IDN_PTJ_141_B1_1.txt,(0, 9),288,18,131,0.454861111111
IDN_PTJ_142_B1_2.txt,(1, 8),285,17,127,0.445614035088
IDN_PTJ_143_B1_1.txt,(3, 1),223,15,83,0.372197309417
IDN_PTJ_144_B1_1.txt,(0, 0),223,12,84,0.37668161435
IDN_PTJ_145_B1_1.txt,(2, 2),211,17,96,0.454976303318
IDN_PTJ_146_B1_1.txt,(0, 4),236,18,90,0.381355932203
IDN_PTJ_147_B1_2.txt,(0, 0),216,21,92,0.425925925926
IDN_PTJ_148_B1_2.txt,(0, 0),231,11,80,0.34632034632
IDN_PTJ_149_B1_2.txt,(0, 0),242,15,98,0.404958677686
IDN_PTJ_150_B1_2.txt,(0, 1),248,13,89,0.358870967742
IDN_PTJ_151_A2_0.txt,(0, 2),279,15,125,0.448028673835
IDN_PTJ_152_B1_2.txt,(1, 3),277,13,118,0.425992779783
IDN_PTJ_153_B1_2.txt,(2, 2),289,13,103,0.356401384083
IDN_PTJ_154_A2_0.txt,(1, 1),200,11,75,0.375
IDN_PTJ_155_B1_2.txt,(0, 1),234,16,97,0.41452991453
IDN_PTJ_156_B1_1.txt,(2, 1),209,23,98,0.468899521531
IDN_PTJ_157_B1_1.txt,(0, 3),205,14,89,0.434146341463
IDN_PTJ_158_B1_2.txt,(2, 0),261,13,105,0.402298850575
IDN_PTJ_159_B1_2.txt,(0, 0),220,27,102,0.463636363636
IDN_PTJ_160_B1_2.txt,(0, 4),260,20,102,0.392307692308
IDN_PTJ_161_B2_0.txt,(0, 0),278,18,117,0.420863309353
IDN_PTJ_162_B1_1.txt,(1, 1),218,16,85,0.389908256881
IDN_PTJ_163_B1_1.txt,(0, 0),226,12,93,0.411504424779
IDN_PTJ_164_B1_2.txt,(0, 2),231,10,85,0.367965367965
IDN_PTJ_165_B1_2.txt,(2, 0),215,15,85,0.395348837209
IDN_PTJ_166_B1_1.txt,(1, 12),289,17,119,0.411764705882
IDN_PTJ_167_A2_0.txt,(0, 1),252,21,107,0.424603174603
IDN_PTJ_168_B1_2.txt,(0, 0),244,18,106,0.434426229508
