Filename,(Grammar,Spelling),Word Count,Average Sentence Length,Function Word Count,FWratio
PAK_PTJ_001_B1_1.txt,(0, 4),212,7,74,0.349056603774
PAK_PTJ_002_B1_1.txt,(1, 6),219,18,88,0.401826484018
PAK_PTJ_003_B1_2.txt,(13, 11),332,15,128,0.385542168675
PAK_PTJ_004_B1_1.txt,(1, 1),205,18,85,0.414634146341
PAK_PTJ_005_B1_2.txt,(2, 4),213,14,92,0.431924882629
PAK_PTJ_006_B1_2.txt,(2, 6),209,9,64,0.306220095694
PAK_PTJ_007_B1_2.txt,(1, 9),327,21,132,0.403669724771
PAK_PTJ_008_B1_1.txt,(1, 0),235,16,99,0.421276595745
PAK_PTJ_009_B1_1.txt,(0, 8),220,9,69,0.313636363636
PAK_PTJ_010_B1_2.txt,(2, 7),251,15,85,0.338645418327
PAK_PTJ_011_A2_0.txt,(0, 3),224,9,73,0.325892857143
PAK_PTJ_012_B1_2.txt,(0, 0),202,16,95,0.470297029703
PAK_PTJ_013_A2_0.txt,(0, 0),207,17,81,0.391304347826
PAK_PTJ_014_B1_1.txt,(0, 3),240,26,102,0.425
PAK_PTJ_015_B1_2.txt,(1, 2),248,12,103,0.415322580645
PAK_PTJ_016_B1_1.txt,(0, 0),240,13,86,0.358333333333
PAK_PTJ_017_B1_2.txt,(1, 3),209,20,95,0.454545454545
PAK_PTJ_018_B1_2.txt,(1, 4),200,13,78,0.39
PAK_PTJ_019_B1_2.txt,(0, 1),203,15,93,0.458128078818
PAK_PTJ_020_B1_1.txt,(1, 8),267,14,114,0.426966292135
PAK_PTJ_021_B1_2.txt,(0, 0),227,17,89,0.392070484581
PAK_PTJ_022_B1_1.txt,(1, 2),236,26,107,0.453389830508
PAK_PTJ_023_A2_0.txt,(3, 14),256,12,87,0.33984375
PAK_PTJ_024_B1_2.txt,(0, 5),231,16,100,0.4329004329
PAK_PTJ_025_B1_2.txt,(5, 3),222,13,79,0.355855855856
PAK_PTJ_026_B1_2.txt,(0, 1),200,11,82,0.41
PAK_PTJ_027_B1_1.txt,(0, 1),224,14,86,0.383928571429
PAK_PTJ_028_B1_1.txt,(0, 0),221,13,79,0.357466063348
PAK_PTJ_029_A2_0.txt,(0, 8),237,15,97,0.409282700422
PAK_PTJ_030_B1_2.txt,(3, 13),317,21,124,0.391167192429
PAK_PTJ_031_B1_2.txt,(1, 3),227,17,100,0.440528634361
PAK_PTJ_032_B1_1.txt,(5, 5),253,14,93,0.367588932806
PAK_PTJ_033_B1_2.txt,(2, 2),229,16,96,0.419213973799
PAK_PTJ_034_B1_2.txt,(0, 4),237,16,95,0.400843881857
PAK_PTJ_035_B1_1.txt,(0, 2),245,12,89,0.363265306122
PAK_PTJ_036_B1_1.txt,(0, 1),221,14,90,0.407239819005
PAK_PTJ_037_B1_2.txt,(1, 1),328,11,120,0.365853658537
PAK_PTJ_038_B1_2.txt,(0, 6),200,16,79,0.395
PAK_PTJ_039_B1_1.txt,(1, 3),222,15,88,0.396396396396
PAK_PTJ_040_B1_1.txt,(0, 1),195,15,70,0.358974358974
PAK_PTJ_041_B1_1.txt,(0, 6),205,9,67,0.326829268293
PAK_PTJ_042_B1_1.txt,(1, 1),200,13,80,0.4
PAK_PTJ_043_B1_2.txt,(0, 1),241,14,95,0.394190871369
PAK_PTJ_044_B1_2.txt,(0, 15),255,15,104,0.407843137255
PAK_PTJ_045_B1_1.txt,(1, 4),216,13,76,0.351851851852
PAK_PTJ_046_B1_2.txt,(0, 0),229,12,89,0.38864628821
PAK_PTJ_047_B1_2.txt,(2, 14),277,17,104,0.375451263538
PAK_PTJ_048_A2_0.txt,(4, 11),204,20,91,0.446078431373
PAK_PTJ_049_A2_0.txt,(2, 1),224,8,76,0.339285714286
PAK_PTJ_050_B1_1.txt,(1, 5),219,13,82,0.374429223744
PAK_PTJ_051_B1_2.txt,(0, 11),322,15,112,0.347826086957
PAK_PTJ_052_A2_0.txt,(2, 1),208,9,60,0.288461538462
PAK_PTJ_053_B1_1.txt,(0, 0),216,14,89,0.412037037037
PAK_PTJ_054_B1_1.txt,(0, 13),222,14,89,0.400900900901
PAK_PTJ_055_B1_2.txt,(0, 0),223,15,90,0.403587443946
PAK_PTJ_056_B1_2.txt,(0, 2),235,18,99,0.421276595745
PAK_PTJ_057_B1_2.txt,(0, 1),228,19,94,0.412280701754
PAK_PTJ_058_B1_1.txt,(4, 3),239,11,105,0.439330543933
